活动名称	添加时间	主体类型	形式(单选)	场景	机制(Mechanic)(单选)	对屏幕的依赖度（特指视觉展示，不包括拍照行为）	活动简介/举例	备注
用颜色来代表情绪	2026/04/30	属性	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	11. 关爱/共情 Care/Empathize	高	展示一个形象（可以考虑用自己的IP），衣服是白色，有表情。不同表情出现的时候（3-5个），让孩子定义适配这个表情的衣服颜色（比如黄色代表开心），之后给角色的衣服上色	这个屏幕展示需要实时变化配合孩子的颜色定义，因此需要确定技术上的可行性。如果进一步限定，也可以考虑每次都给孩子两个选择
Guess in 10	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	5. 推理/演绎 Deduce/Infer/Conclude/Justify	中	参考Guess in 10的玩法，AI给出几个线索，让孩子猜是什么动物（或者其他类别的物体），可以结合图片展示	针对不同的年龄段，提示的难度要有区分。同时如果孩子猜不到，要进一步给提示降低挫败感
颜色混合画板	2026/04/30	属性	Cat 5. 需结合拍照	室内,户外	3. 收集/配对 Collect/Match/Pair/Associate/Generalize	中	Scavenger的变体，但是重点是介绍颜色的混合（红+蓝=紫）。可以引导孩子拍摄指定颜色的2-3个物体，然后向孩子介绍颜色的混合（包括primary secondary colors等概念）	主要集中于2个颜色混合，但大孩子可以考虑引入3个（包括比如添加棕色可以影响明度等复杂概念）
星座的恒星数量	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	1. 识别/计数 Enumerate/Identify/Count/Measure	中	后台预制一个列表，是重点星座以及对应的恒星数量（不限于12星座，包括大熊、猎户等常见星座），让孩子在两个数字中选择（比如7还是29），然后给孩子展示他选择数字对应的星座，并进行简单的介绍（如多个星座对应相同的恒星数，可以随机选择）	预制AI生图，可以配合星座的名字标签展示。要把恒星点体现出来，让孩子在了解星座的同时练习数感。可以考虑排除恒星数量特别多星座，但只要AI生图足够清晰，也可以包括
玩具整理	2026/04/30	物体	Cat 5. 需结合拍照	室内	4. 排序/整理 Sort/Rank/Sequence/Organize/Categorize	低	孩子拍摄玩具以后，引导孩子拍摄他的“玩具房”的场景照片，询问孩子是否愿意自己动手进行整理。限时2分钟。孩子拍摄整理后照片	重在过程，孩子整理的2分钟内可以介绍一些简单的“整理”“归类”的小技巧。设置时间是增加游戏感，小压力，营造挑战感
感受时间	2026/04/30	属性	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	1. 识别/计数 Enumerate/Identify/Count/Measure	低	让孩子闭上眼睛，感受时间（比如30s、一分钟有多长）。可能的形式：1）就静静感受30s有多少，期间可以轻微滴答声，配合安静的音乐，2）开始计时，让孩子喊“停”，告诉孩子刚才过了多少s	有一个时间上限，比如不超过2分钟
一笔画挑战	2026/04/30	物体	Cat 3. 需借助外部材料	室内	6. 搭建/创意 Build/Create/Assemble/Transform/Experiment/Invent	高	找一些简单的“一笔画”，让孩子仿照屏幕上的图片进行一笔画挑战，孩子最后拍照展示自己的作品。孩子需要自己找笔和纸	不要太复杂，可以做一些简单的“箭头”引导。不用评估，鼓励和过程为主
纸条“漂流瓶“	2026/04/30	物体,属性,类别	Cat 3. 需借助外部材料	室内	11. 关爱/共情 Care/Empathize	低	可以通过孩子拍摄的东西，讲一个温情的小故事，然后引导孩子，是不是有想对家长或者朋友说的话，可以悄悄写下来或者画下来（借助纸和笔），然后放在家长的枕头上，书桌上，或者带到学校给朋友	孩子做完以后拍照，鼓励为主，不用具体识别（但需要考虑识别是不是有不恰当的内容）。可以提示孩子就简单画个爱心等
做奖状	2026/04/30	物体,属性,类别	Cat 3. 需借助外部材料	室内	11. 关爱/共情 Care/Empathize	中	可以通过孩子拍摄的东西，讲一个温情的小故事，然后引导孩子，是不是有想给家长或者朋友颁的奖。可以屏幕配合展示一个小奖章“best mom”给孩子一些inspiration。然后引导孩子用纸和笔画下来，给家人/朋友	不宜复杂。给孩子一些提示，也可以屏幕展示让孩子照着画/参考
职业决策	2026/04/30	属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	8. 选择/决策 Decide/Choose/Correct	低	告诉孩子假定现在是某个职业，然后在工作的过程中遇到了一个具体的场景，有一些问题需要小朋友这位“专家”来做决策。让孩子进行是非选择或者简单二选一。比如孩子是消防员，如果着火了，1）我们要不要立刻派消防车？2）我们应该用水还是油来灭火？	问题不用太复杂，可以考虑对应不同的职业配合预制的职业画像进行屏幕展示+预制问题库。让孩子有专业感，自豪感。
蔬菜分类	2026/04/30	类别	Cat 1. 纯语音（含屏幕显示及互动）	室内	4. 排序/整理 Sort/Rank/Sequence/Organize/Categorize	高	介绍蔬菜的几种分类（比如叶菜类，茎菜类，根菜类），然后展示不同种类的蔬菜（主要需要是海外常见的菜），让孩子归类	根据不同的年龄可以加大难度。这种“归类”的思路可以套用到很多其他的物体
猜猜有几个	2026/04/30	属性	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	1. 识别/计数 Enumerate/Identify/Count/Measure	高	找出有数量特征的属性（比如动物的腿），让孩子逐个说出某个动物有几条腿。可以配合图片展示	这个玩法可以套用到很多相关的类别
闪卡	2026/04/30	物体,属性	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	1. 识别/计数 Enumerate/Identify/Count/Measure	高	基本的重要的玩法之一，基本可以复用再任何品类（比如颜色，动物等）	需要预制图片库（AI）
Trivia Game	2026/04/30	物体,属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	9. 记忆/回顾 Remember/Recall/Repeat	中	经典玩法，可以复用到各种不同的类别、物体等。总体流程都是结合孩子拍摄/问的东西进行一小段内容输出，然后用“小测试”的形式，让孩子回顾讲过的内容。但是避免“测试”的压力感，可以用充满趣味和挑战的形式。讲述的内容可以有两种思路：1）纯知识类的，2）故事性的，趣味性的。针对2），测试也是充满“好玩感”的	可以考虑配合图片展示（内容输出的时候）。同时，孩子测试的时候，可以考虑有一种“积累”的奖励感。比如，每答对一道题，就搭建一个城堡的一部分；答不对就不搭建，继续。可以让孩子一直进行直到城堡搭建完成。
打鼹鼠变形	2026/04/30	物体,属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	2. 比较/对比 Compare/Contrast	高	传统的“打鼹鼠”游戏的变形。比如孩子拍摄了狗，在介绍的时候就扩展介绍几个跟狗长相近似的动物（比如狐狸，狼）。然后给孩子挑战，练习展示一些真实的动物的照片，混合狗，狐狸，狼。每当展示“狗”的时候，让孩子说出“dog”。其他时候安静。	类似的玩法可以拓展到很多品类。主要训练孩子识别物体间的差别。大一点的孩子也可以挑战不同的狗的种类，比如金毛等
Hangman 猜词游戏	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	10. 语言/叙事 Imagine/Narrate/Pretend/Roleplay/Retell/Summarize	高	传统的凑字母拼单词游戏（参考：https://play.google.com/store/apps/details?id=com.tellmewow.senior.hangman&hl=en_US），让孩子说出字母，直到整个单词拼凑完成。单词需要跟孩子拍摄/问的物体有关	注意设计上不要采用hangman的原型，用一个更温馨可爱的表达（比如从一个小树苗长成一个大树）
Would you rather	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	2. 比较/对比 Compare/Contrast	低	这种一种非常经典的玩法，主要用语音的形式，连续问问题，让孩子二选一。这种玩法中可以带有非常强的趣味性（搞笑的感觉）。比如Would you rather brush your teeth with ketchup, or wash your hair with chocolate milk?	注意问题不要太长
艺术鉴赏家	2026/04/30	类别	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	2. 比较/对比 Compare/Contrast	高	类似“冒泡算法”和擂台，每次都给孩子两个艺术作品，让孩子选择自己想对更喜欢的。胜者保留，进入下一轮，跟新的一个作品比较。差不多一共5轮，最终选出胜利者	1. 可以考虑结合滚轮操作；2. 艺术作品很多博物馆都有免费接口；3. 这种比较选优的方法可以复用到很多其他的类别（不限于艺术作品）
通过颜色看名画	2026/04/30	属性	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	1. 识别/计数 Enumerate/Identify/Count/Measure	高	通过孩子拍摄的颜色，给孩子看几个以这个颜色为主体的艺术作品（比如梵高的向日葵就是黄色），然后简单介绍一下艺术作品的背景	艺术作品很多博物馆都有免费API接口，同时有颜色标签
简单的肢体动作引导	2026/04/30	属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内	12. 动作/声音 Motion/Voice	中	比如模仿一些动物的动作，屏幕上展示相关的图片（可以是AI生图，这样动作更夸张明显一点），然后让孩子模仿。限于简单的拉伸，举手，趴着等动作	不用检测，不用评价，重在过程
时事评论	2026/04/30	物体,属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	5. 推理/演绎 Deduce/Infer/Conclude/Justify	低	针对大一点的孩子，可以通过孩子拍摄的物体或者问的问题引发一个带有一点“社会性”问题的背景介绍。然后通过一点“小采访”的形式，让孩子说出自己的观点。除了社会性问题，也可以考虑找一些纯“搞笑的”的问题，主要就是让孩子有自己的想法，辩证看问题	不用太复杂，可以从“儿童辩论题”里面找灵感。孩子的观点也没有对错。因此AI的回复不用有太强的“评价感”，也不用太给“情绪价值”，就是辩证、讨论的感觉
生成小诗歌	2026/04/30	物体,属性,类别	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	6. 搭建/创意 Build/Create/Assemble/Transform/Experiment/Invent	低	孩子都喜欢有韵律（Rhyme）的东西，AI也有这个生成能力。结合孩子拍摄的东西，可以生成一首小诗（可以温馨，可以搞笑），读给孩子听，也算是孩子的一个小成就	要结合孩子的东西，这样孩子有“参与感”，算是跟孩子的“共创”
帮XX计划旅行	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	7. 预测/计划 Predict/Hypothesize/Plan	中	让孩子理解计划，也是项目制学习的初探。假设孩子拍摄的小玩偶要去旅行，让孩子参与计划小玩偶要带什么东西。比如天气要下雨，决定要不要带伞。	不一定限于“旅行”，可以在任何场景设计一个“计划”游戏。但尽量与真实生活体验有关
Quick and silly quesitons	2026/04/30	物体	Cat 1. 纯语音（含屏幕显示及互动）	室内,户外	8. 选择/决策 Decide/Choose/Correct	低	"跟知识无关，就是快速二选一或者Yes/No游戏。大约连贯5-7个游戏，每个问题后可以考虑屏幕显示 321 倒计时（不用配合音效）。趣味为主，问题可以silly。跟would you rather 的区别是这种问题都短平快，需要快速反应。比如“cat or dog""""purple or pink"""	可以考虑整体配合一点鼓点感的音效，营造紧张快速的氛围。AI也要稍微加快一点语速，像快速提问的主持人语气。问题要简单 好玩
